Unnamed: 0,Code,variants
128,LER,"['labor & employment relations', 'labor employment relations', 'labor and employment relations', 'human resource education', 'labor & industrial relations', 'labor and industrial relations', 'human resource development']"
129,LING,['linguistics']
130,LLS,"['latino/latina studies', 'latina/latino studies', 'latino/latina studies program', 'latina/latino studies program']"
131,MACS,"['cinema studies', 'media and cinema studies']"
132,MATH,['mathematics']
133,MBA,"['executive mba', 'mba', 'mba program']"
134,MCB,"['cell & structural biology', 'molecular & cellular biology', 'molecular and cellular biology', 'molecular and cell biology']"
135,MDIA,['media']
136,MDVL,"['media studies', 'medieval studies', 'medieval civ. studies prog.']"
137,ME,"['mechanical engineering', 'mechanical science and engineering']"
138,MICR,['microbiology']
139,MILS,"['military science', 'library science']"
140,MIP,"['molecular & integrative physiology', 'molecular and integrative physiology', 'physiology', 'moleculr & integrative physiology']"
141,MSE,"['materials science & engineering', 'materials science and engineering', 'materials science']"
142,MUSC,['music lessons and ensembles']
143,MUSE,['museum studies']
144,MUS,['music']
145,NE,"['general engineering', 'neural engineering']"
146,NEUR,['neuroscience']
147,NPRE,"['nuclear, plasma & radiological engineering', 'nuclear, plasma, & radiological engineering', 'nuclear, plasma & radiological engrineering', 'nuclear, plasma, and radiological engineering', 'nuclear engineering', 'nuclear, plasma & rad. engr.', 'nuclear, plasma & rad. engineering', 'nuclear, plasma, radiological engineering']"
148,NRES,"['natural resources & environment', 'natural resources & environmental sciences', 'natural resources & environmental science', 'natural resources', 'natural resources and environmental sciences', 'natural resources & environ sc']"
149,NS,['naval science']
150,NUTR,['nutritional sciences']
151,PATH,"['pathobiology', 'veterinary pathobiology']"
152,PBIO,"['plant biology', 'forestry']"
153,PERS,['persian']
154,PHIL,['philosophy']
155,PHYS,['physics']
156,PLPA,['plant pathology']
157,POL,['polish']
158,PORT,['portuguese']
159,PSM,"[""professional science master's program"", 'professional science master’s program', 'professional science master']"
160,PS,['political science']
161,PSYC,['psychology']
162,QUEC,['quechua']
163,REES,"['russian, eastern european and eurasian studies', 'russian, east european and eurasian studies', 'russian, east european, and eurasian studies', 'russian & east european center', 'russian,east european & eurasion center', 'russian, east european, & eurasian center']"
164,REHB,"['rehabilitation counseling', 'rehabilitation services']"
165,REL,"['religion', 'religious studies']"
166,RHET,"['rhetoric and composition', 'rhetoric']"
167,RMLG,['romance linguistics']
168,RST,"['recreation, sport & tourism', 'recreation, sports, and tourism', 'recreation, sport, and tourism', 'leisure studies', 'recreation, sport and tourism']"
169,RUSS,['russian']
170,SAME,"['indonesian', 'south asian & middle eastern']"
171,SBC,['strategic brand communication']
172,SCAN,['scandinavian']
173,SE,"['systems engineering and design', 'systems engineering']"
174,SHS,['speech and hearing science']
175,SLAV,['slavic']
176,SLCL,"['literatures, cultures, and linguistics', 'school of literatures, cultures and linguistics', 'school of literatures, cultures, and linguistics', 'literatures cultures linguistics']"
177,SNSK,['sanskrit']
178,SOC,"['sociology', 'rural sociology']"
179,SOCW,['social work']
180,SPAN,"['spanish', 'spanish and portuguese', 'spanish, italian and portuguese', 'spanish, italian, and portuguese', 'spanish, italian and portugues']"
181,SPED,['special education']
182,STAT,['statistics']
183,SWAH,['swahili']
184,TAM,"['theoretical and applied mechanics', 'theoretical & applied mechanics']"
185,TE,"['technical entrepreneurship', 'technology entrepreneurship', 'technical entrepreneurship center', 'technology entrepreneur center']"
186,THEA,['theatre']
187,TMGT,['technology and management']
188,TRST,['translation studies']
189,TURK,['turkish']
190,UKR,['ukrainian']
191,UP,"['urban & regional planning', 'urban and regional planning']"
192,VCM,['veterinary clinical medicine']
193,VM,"['veterinary medicine courses', 'veterinary medical science', 'veterinary biosciences', 'veterinary medicine']"
194,WGGP,"['women and gender in global perspectives program', 'women and gender in global perspectives']"
195,WLOF,['wolof']
196,WRIT,['writing studies']
197,YDSH,['yiddish']
198,,[nan]
