Code,Subject,Target_lower,variants
IE,Industrial Engineering,industrial engineering,"['mechanical & industrial engineering', 'industrial and enterprise systems engineering', 'industrial & enterprise systems engineering']"
IHLT,I-Health,i-health,['i-health']
INFO,Informatics,informatics,[]
IS,Information Sciences,information sciences,"['library & information science', 'library and information science']"
ITAL,Italian,italian,[]
JAPN,Japanese,japanese,[]
JOUR,Journalism,journalism,[]
JS,Jewish Studies,jewish studies,"['leisure studies', 'religious studies']"
KIN,Kinesiology,kinesiology,[]
KOR,Korean,korean,[]
LA,Landscape Architecture,landscape architecture,[]
LAS,Liberal Arts and Sciences,liberal arts and sciences,"['liberal arts & sciences', 'liberal arts', 'liberal arts and sciences']"
LAST,Latin American & Caribbean St,latin american & caribbean st,['latin american and caribbean studies']
LAT,Latin,latin,['aviation']
LAW,Law,law,['law']
LCTL,Less Commonly Taught Languages,less commonly taught languages,[]
LEAD,Organizational & Community Leadership,organizational & community leadership,"['educational organization and leadership', 'educational policy, organization and leadership', 'educational organization & leadership', 'educational policy, organizatization and leadership', 'education policy, organization and leadership', 'education policy, organization & leadership', 'educational policy, organization & leadership']"
LER,Labor and Employment Relations,labor and employment relations,"['labor & industrial relations', 'labor and industrial relations']"
LING,Linguistics,linguistics,[]
LLS,Latina/Latino Studies,latina/latino studies,"['latino/latina studies program', 'latina/latino studies program']"
MACS,Media and Cinema Studies,media and cinema studies,['media and cinema studies']
MATH,Mathematics,mathematics,[]
MBA,MBA Program,mba program,"['i-health program', 'mba program']"
MCB,Molecular and Cell Biology,molecular and cell biology,"['cell & structural biology', 'molecular & cellular biology', 'molecular and cellular biology', 'molecular and cell biology']"
MDIA,Media,media,[]
MDVL,Medieval Studies,medieval studies,['medieval civ. studies prog.']
ME,Mechanical Engineering,mechanical engineering,['mechanical science and engineering']
MICR,Microbiology,microbiology,['animal biology']
MILS,Military Science,military science,[]
MIP,Moleculr & Integrative Physiology,moleculr & integrative physiology,[]
MSE,Materials Science & Engineering,materials science & engineering,[]
MUSC,Music Lessons and Ensembles,music lessons and ensembles,['music lessons and ensembles']
MUSE,Museum Studies,museum studies,[]
MUS,Music,music,[]
NE,Neural Engineering,neural engineering,"['nursing--general', 'nuclear engineering', 'nursing-general', 'nursing—general']"
NEUR,Neuroscience,neuroscience,['food science']
NPRE,"Nuclear, Plasma, Radiological Engineering","nuclear, plasma, radiological engineering","['nuclear, plasma & rad. engr.', 'nuclear, plasma & rad. engineering']"
NRES,Natural Resources & Environ Sc,natural resources & environ sc,"['natural resources & environmental sciences', 'natural resources & environmental science', 'human resource development', 'natural resources', 'natural resources and environmental sciences']"
NS,Naval Science,naval science,[]
NUTR,Nutritional Sciences,nutritional sciences,[]
PATH,Pathobiology,pathobiology,['veterinary pathobiology']
PBIO,Plant Biology,plant biology,[]
PERS,Persian,persian,"['nursing', 'indonesian']"
PHIL,Philosophy,philosophy,[]
PHYS,Physics,physics,"['krzyzewski,c']"
PLPA,Plant Pathology,plant pathology,[]
POL,Polish,polish,[]
PORT,Portuguese,portuguese,['spanish and portuguese']
PSM,Professional Science Master,professional science master,"[""professional science master's program"", 'professional science master’s program']"
PS,Political Science,political science,[]
PSYC,Psychology,psychology,[]
QUEC,Quechua,quechua,[]
REES,"Russian, East European and Eurasian Studies","russian, east european and eurasian studies","['russian & east european center', 'russian,east european & eurasion center', 'russian, east european, & eurasian center']"
REHB,Rehabilitation Counseling,rehabilitation counseling,[]
REL,Religion,religion,[]
RHET,Rhetoric and Composition,rhetoric and composition,['rhetoric and composition']
RMLG,Romance Linguistics,romance linguistics,[]
RST,"Recreation, Sport, and Tourism","recreation, sport, and tourism","['spanish, italian and portuguese', 'spanish, italian, and portuguese', 'recreation, sport and tourism', 'spanish, italian and portugues', 'polanco encarnacion,g']"
RUSS,Russian,russian,[]
SAME,South Asian & Middle Eastern,south asian & middle eastern,[]
SBC,Strategic Brand Communication,strategic brand communication,[]
SCAN,Scandinavian,scandinavian,['french and italian']
SE,Systems Engineering and Design,systems engineering and design,['systems engineering']
SHS,Speech and Hearing Science,speech and hearing science,['speech and hearing science']
SLAV,Slavic,slavic,[]
SLCL,Literatures Cultures Linguistics,literatures cultures linguistics,"['school of literatures, cultures and linguistics', 'school of literatures, cultures, and linguistics']"
SNSK,Sanskrit,sanskrit,[]
SOC,Sociology,sociology,['rural sociology']
SOCW,Social Work,social work,[]
SPAN,Spanish,spanish,[]
SPED,Special Education,special education,['vocational & technical education']
STAT,Statistics,statistics,[]
SWAH,Swahili,swahili,[]
TAM,Theoretical and Applied Mechanics,theoretical and applied mechanics,[]
TE,Technology Entrepreneurship,technology entrepreneurship,"['technical entrepreneurship center', 'technology entrepreneur center']"
THEA,Theatre,theatre,"['hebrew', 'rhetoric']"
TMGT,Technology and Management,technology and management,['technical systems management']
TRST,Translation Studies,translation studies,[]
TURK,Turkish,turkish,[]
UKR,Ukrainian,ukrainian,"['korczak,p               ta']"
UP,Urban and Regional Planning,urban and regional planning,['urban and regional planning']
VCM,Veterinary Clinical Medicine,veterinary clinical medicine,['veterinary medical science']
VM,Veterinary Medicine Courses,veterinary medicine courses,"['ui college of medicine at uc', 'veterinary biosciences', 'ui college of medicine at u-c', 'veterinary medicine']"
WGGP,Women and Gender in Global Perspectives,women and gender in global perspectives,['women and gender in global perspectives program']
WLOF,Wolof,wolof,[]
WRIT,Writing Studies,writing studies,[]
YDSH,Yiddish,yiddish,[]
