,Code,Subject,Target_lower,variants
85,EXP,Exploratory Studies,exploratory studies,[]
86,FAA,Fine and Applied Arts,fine and applied arts,['fine and applied arts']
87,FIN,Finance,finance,['finance']
88,FLTE,Foreign Language Teacher Education,foreign language teacher education,['foreign language teacher education']
89,FR,French,french,"['french', 'french and italian']"
90,FSHN,Food Science & Human Nutrition,food science & human nutrition,"['food science & human nutrition', 'food science and human nutrition', 'foods and nutrition', 'food science']"
91,GC,Graduate College,graduate college,['graduate college']
92,GEOL,Geology,geology,['geology']
93,GER,German,german,['german']
94,GGIS,Geography & Geographic Information Science,geography & geographic information science,"['geography & geographic information science', 'geography & geographic information', 'geography and geographic information science', 'geography']"
95,GLBL,Global Studies,global studies,['global studies']
96,GMC,Germanic,germanic,[]
97,GRK,Greek,greek,['greek']
98,GRKM,Modern Greek,modern greek,"['modern greek', 'greek (modern)']"
99,GSD,Game Studies and Design,game studies and design,['game studies and design']
100,GS,General Studies,general studies,['general studies']
101,GWS,Gender and Women's Studies,gender and women's studies,"[""gender & women's studies"", ""women's studies"", ""gender and women's studies"", 'gender and women’s studies']"
102,HDFS,Human Dev and Family Studies,human dev and family studies,"['human & community development', 'human development & family studies', 'human resources & family studies', 'human development and family studies']"
103,HEBR,"Hebrew, Modern and Classical","hebrew, modern and classical","['hebrew, modern and classical', 'hebrew']"
104,HIST,History,history,['history']
105,HK,Health and Kinesiology,health and kinesiology,['health and kinesiology']
106,HNDI,Hindi,hindi,['hindi']
107,HORT,Horticulture,horticulture,"['horticulture', 'agriculture']"
108,HT,Health Technology,health technology,['health technology']
109,HUM,Humanities Courses,humanities courses,"['humanities courses', 'humanities']"
110,IB,Integrative Biology,integrative biology,['integrative biology']
111,IE,Industrial Engineering,industrial engineering,"['industrial engineering', 'industrial systems engineering', 'mechanical & industrial engineering', 'industrial and enterprise systems engineering', 'industrial & enterprise systems engineering']"
112,IHLT,I-Health,i-health,"['interdisciplinary health sciences', 'i-health', 'i-health program']"
113,INFO,Informatics,informatics,['informatics']
114,IS,Information Sciences,information sciences,"['information science', 'information sciences', 'library & information science', 'library and information science']"
115,ITAL,Italian,italian,[]
116,JAPN,Japanese,japanese,['japanese']
117,JOUR,Journalism,journalism,['journalism']
118,JS,Jewish Studies,jewish studies,['jewish studies']
119,KIN,Kinesiology,kinesiology,['kinesiology']
120,KOR,Korean,korean,['korean']
121,LA,Landscape Architecture,landscape architecture,['landscape architecture']
122,LAS,Liberal Arts and Sciences,liberal arts and sciences,"['las', 'liberal arts & sciences', 'liberal arts', 'liberal arts and sciences']"
123,LAST,Latin American & Caribbean St,latin american & caribbean st,"['latin american & caribbean studies', 'latin amererican & caribbean studies', 'latin american & caribean studies', 'latin amer & carib studies', 'latin american studies program', 'amer & carib       studies', 'latin american and caribbean studies']"
124,LAT,Latin,latin,['latin']
125,LAW,Law,law,['law']
126,LCTL,Less Commonly Taught Languages,less commonly taught languages,[]
127,LEAD,Organizational & Community Leadership,organizational & community leadership,"['organizational and community leadership', 'leadership', 'educational organization and leadership']"
128,LER,Labor and Employment Relations,labor and employment relations,"['labor & employment relations', 'labor employment relations', 'labor and employment relations', 'human resource education', 'labor & industrial relations', 'labor and industrial relations', 'human resource development']"
129,LING,Linguistics,linguistics,['linguistics']
130,LLS,Latina/Latino Studies,latina/latino studies,"['latino/latina studies', 'latina/latino studies', 'latino/latina studies program', 'latina/latino studies program']"
131,MACS,Media and Cinema Studies,media and cinema studies,"['cinema studies', 'media and cinema studies']"
132,MATH,Mathematics,mathematics,['mathematics']
133,MBA,MBA Program,mba program,"['executive mba', 'mba', 'mba program']"
134,MCB,Molecular and Cell Biology,molecular and cell biology,"['cell & structural biology', 'molecular & cellular biology', 'molecular and cellular biology', 'molecular and cell biology']"
135,MDIA,Media,media,['media']
136,MDVL,Medieval Studies,medieval studies,"['media studies', 'medieval studies', 'medieval civ. studies prog.']"
137,ME,Mechanical Engineering,mechanical engineering,"['mechanical engineering', 'mechanical science and engineering']"
138,MICR,Microbiology,microbiology,['microbiology']
139,MILS,Military Science,military science,"['military science', 'library science']"
140,MIP,Moleculr & Integrative Physiology,moleculr & integrative physiology,"['molecular & integrative physiology', 'molecular and integrative physiology', 'physiology']"
141,MSE,Materials Science & Engineering,materials science & engineering,"['materials science & engineering', 'materials science and engineering', 'materials science']"
142,MUSC,Music Lessons and Ensembles,music lessons and ensembles,['music lessons and ensembles']
143,MUSE,Museum Studies,museum studies,['museum studies']
144,MUS,Music,music,['music']
145,NE,Neural Engineering,neural engineering,['general engineering']
146,NEUR,Neuroscience,neuroscience,['neuroscience']
147,NPRE,"Nuclear, Plasma, Radiological Engineering","nuclear, plasma, radiological engineering","['nuclear, plasma & radiological engineering', 'nuclear, plasma, & radiological engineering', 'nuclear, plasma & radiological engrineering', 'nuclear, plasma, and radiological engineering', 'nuclear engineering', 'nuclear, plasma & rad. engr.', 'nuclear, plasma & rad. engineering']"
148,NRES,Natural Resources & Environ Sc,natural resources & environ sc,"['natural resources & environment', 'natural resources & environmental sciences', 'natural resources & environmental science', 'natural resources', 'natural resources and environmental sciences']"
149,NS,Naval Science,naval science,['naval science']
150,NUTR,Nutritional Sciences,nutritional sciences,['nutritional sciences']
151,PATH,Pathobiology,pathobiology,"['pathobiology', 'veterinary pathobiology']"
152,PBIO,Plant Biology,plant biology,"['plant biology', 'forestry']"
153,PERS,Persian,persian,['persian']
154,PHIL,Philosophy,philosophy,['philosophy']
155,PHYS,Physics,physics,['physics']
156,PLPA,Plant Pathology,plant pathology,['plant pathology']
157,POL,Polish,polish,['polish']
158,PORT,Portuguese,portuguese,[]
159,PSM,Professional Science Master,professional science master,"[""professional science master's program"", 'professional science master’s program']"
160,PS,Political Science,political science,['political science']
161,PSYC,Psychology,psychology,['psychology']
162,QUEC,Quechua,quechua,[]
